Date,Mkt-RF,SMB,HML,RF,AppleR,MsftR,GoogleR,AmazR,NvdiaR,AppleR - RF,MsftR - RF,GoogleR - RF,AmazR - RF,NvdiaR - RF
20230613,0.74,0.57,0.07,0.019,-0.0026,0.0074,0.0015,0.0007,0.039,-0.0216,-0.0116,-0.0175,-0.0183,0.02
20230612,0.94,0.04,-1.4,0.019,0.0156,0.0155,0.0115,0.0254,0.0184,-0.0034,-0.0035,-0.0075,0.0064,-0.0006
20230609,0.03,-0.71,-0.4,0.019,0.0022,0.0047,0.0007,-0.0066,0.0068,-0.0168,-0.0143,-0.0183,-0.0256,-0.0122
20230608,0.59,-0.49,-1.15,0.019,0.0155,0.0058,-0.0029,0.0249,0.0276,-0.0035,-0.0132,-0.0219,0.0059,0.0086
20230607,-0.36,1.34,2.24,0.019,-0.0078,-0.0309,-0.0378,-0.0425,-0.0305,-0.0268,-0.0499,-0.0568,-0.0615,-0.0495
20230606,0.47,2.12,1.32,0.019,-0.0021,-0.0067,0.0103,0.0105,-0.0132,-0.0211,-0.0257,-0.0087,-0.0085,-0.0322
20230605,-0.26,-1,-0.73,0.019,-0.0076,0.0016,0.0107,0.0085,-0.004,-0.0266,-0.0174,-0.0083,-0.0105,-0.023
20230602,1.62,1.55,1.63,0.019,0.0048,0.0085,0.0077,0.0121,-0.0111,-0.0142,-0.0105,-0.0113,-0.0069,-0.0301
20230601,1.01,0.14,-0.07,0.019,0.016,0.0128,0.0069,0.0182,0.0512,-0.003,-0.0062,-0.0121,-0.0008,0.0322
20230531,-0.6,-0.1,-1.12,0.016,-0.0003,-0.0085,-0.0065,-0.0089,-0.0568,-0.0163,-0.0245,-0.0225,-0.0249,-0.0728
20230530,-0.01,-0.15,-0.41,0.016,0.0107,-0.005,-0.0075,0.0129,0.0299,-0.0053,-0.021,-0.0235,-0.0031,0.0139
20230526,1.32,0.04,-0.87,0.016,0.0141,0.0214,0.0092,0.0444,0.0254,-0.0019,0.0054,-0.0068,0.0284,0.0094
20230525,0.64,-0.71,-1.08,0.016,0.0067,0.0385,0.0213,-0.015,0.2437,-0.0093,0.0225,0.0053,-0.031,0.2277
20230524,-0.72,-0.32,-0.19,0.016,0.0016,-0.0045,-0.0135,0.0153,-0.0049,-0.0144,-0.0205,-0.0295,-0.0007,-0.0209
20230523,-1.09,0.39,1.05,0.016,-0.0152,-0.0184,-0.0199,-0.0002,-0.0157,-0.0312,-0.0344,-0.0359,-0.0162,-0.0317
20230522,0.17,1.26,-0.22,0.016,-0.0055,0.0089,0.0187,-0.0107,-0.0028,-0.0215,-0.0071,0.0027,-0.0267,-0.0188
20230519,-0.26,-0.45,-0.3,0.016,0.0006,-0.0006,-0.0006,-0.0161,-0.0131,-0.0154,-0.0166,-0.0166,-0.0321,-0.0291
20230518,0.99,-0.08,-0.38,0.016,0.0137,0.0144,0.0165,0.0229,0.0497,-0.0023,-0.0016,0.0005,0.0069,0.0337
20230517,1.32,0.87,1.18,0.016,0.0036,0.0072,0.0111,0.0185,0.033,-0.0124,-0.0088,-0.0049,0.0025,0.017
20230516,-0.72,-0.33,-0.46,0.016,0,0.0074,0.0257,0.0198,0.009,-0.016,-0.0086,0.0097,0.0038,-0.007
20230515,0.47,0.84,0.01,0.016,-0.0029,0.0016,-0.0085,0.0085,0.0216,-0.0189,-0.0144,-0.0245,-0.0075,0.0056
20230512,-0.22,-0.19,0.35,0.016,-0.0068,-0.0037,0.0081,-0.0171,-0.0083,-0.0228,-0.0197,-0.0079,-0.0331,-0.0243
20230511,-0.21,-0.48,-0.08,0.016,0.0011,-0.007,0.0431,0.0181,-0.0106,-0.0149,-0.023,0.0271,0.0021,-0.0266
20230510,0.43,0.45,-1.31,0.016,0.0104,0.0173,0.041,0.0335,0.011,-0.0056,0.0013,0.025,0.0175,-0.005
20230509,-0.43,0.11,-0.05,0.016,-0.01,-0.0053,-0.0039,0.0075,-0.0199,-0.026,-0.0213,-0.0199,-0.0085,-0.0359
20230508,0.08,-0.31,-0.27,0.016,-0.0004,-0.0064,0.0208,0.0017,0.0164,-0.0164,-0.0224,0.0048,-0.0143,0.0004
20230505,1.9,0.4,0.6,0.016,0.0469,0.0172,0.0084,0.0159,0.0406,0.0309,0.0012,-0.0076,-1.00E-04,0.0246
20230504,-0.78,-0.29,-0.99,0.016,-0.0099,0.0033,-0.0068,0.0034,-0.0086,-0.0259,-0.0127,-0.0228,-0.0126,-0.0246
20230503,-0.56,1.06,-1.02,0.016,-0.0065,-0.0033,0.0009,0.0002,-0.0145,-0.0225,-0.0193,-0.0151,-0.0158,-0.0305
